player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
pope,4,7,3,1,3,0,0.14285714285714285,25.38%,3,4,2,4,0,1,13.636363636363637
ev,18,10,3,5,1,2,0.7272727272727273,75.76%,3,7,4,2,1,1,19.565217391304348
kelo,32,5,8,5,8,5,0.4807692307692308,55.02%,3,2,2,2,0,0,7.812500000000001
eli,8,4,5,2,7,1,0.23333333333333334,25.19%,1,3,3,2,0,6,-0.576923076923077
tariq,11,5,0,4,4,1,0.6111111111111112,61.11%,1,4,0,1,0,1,11.25
,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0
