player,points,rebounds,2pt_attempts,2pt_made,3pt_attempts,3pt_made,eFG,trueShooting,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,PER
ev,29,12,4,7,3,5,0.7631578947368421,76.32%,5,7,5,5,1,1,17.83783783783784
eli,31,5,6,8,9,5,0.5535714285714286,55.36%,1,4,6,2,1,1,9.25531914893617
joey,27,8,4,5,6,5,0.625,64.66%,3,5,3,0,0,1,10.657894736842104
jeff,8,4,0,4,3,0,0.5714285714285714,57.14%,1,3,3,3,1,1,18.75
pope,6,7,0,3,1,0,0.75,67.57%,4,3,2,2,0,3,19.5
chris,10,2,0,5,0,0,1,100.00%,0,2,2,2,4,0,30
ryan,2,1,0,1,1,0,0.5,50.00%,1,0,1,0,0,0,15
eman,8,5,0,3,0,0,1,103.09%,0,5,2,2,0,0,31.875
